1,SP,Masahiro Tanaka,27,14,4,.778,3.07,31,31,0,0,0,0,199.2,179,75,68,22,36,0,165,3,0,7,805,142,3.51,1.077,8.1,1.0,1.6,7.4,4.58
2,SP,CC Sabathia,35,9,12,.429,3.91,30,30,0,0,0,0,179.2,172,83,78,22,65,1,152,9,1,2,768,111,4.28,1.319,8.6,1.1,3.3,7.6,2.34
3,SP,Michael Pineda,27,6,12,.333,4.82,32,32,0,0,0,0,175.2,184,98,94,27,53,1,207,6,0,7,756,90,3.79,1.349,9.4,1.4,2.7,10.6,3.91
4,SP,Nathan Eovaldi,26,9,8,.529,4.76,24,21,2,0,0,0,124.2,123,66,66,23,40,2,97,1,0,5,525,91,4.97,1.307,8.9,1.7,2.9,7.0,2.43
5,SP,Ivan Nova,29,7,6,.538,4.90,21,15,3,0,0,1,97.1,107,54,53,19,25,1,75,6,0,7,421,89,5.10,1.356,9.9,1.8,2.3,6.9,3.00
6,CL,Aroldis Chapman,28,3,0,1.000,2.01,31,0,29,0,0,20,31.1,20,8,7,2,8,0,44,0,1,2,120,218,1.93,0.894,5.7,0.6,2.3,12.6,5.50
7,RP,Dellin Betances,28,3,6,.333,3.08,73,0,20,0,0,12,73.0,54,31,25,5,28,0,126,1,0,6,299,141,1.78,1.123,6.7,0.6,3.5,15.5,4.50
8,RP,Andrew Miller,31,6,1,.857,1.39,44,0,16,0,0,9,45.1,28,8,7,5,7,0,77,2,0,0,172,314,1.78,0.772,5.6,1.0,1.4,15.3,11.00
9,RP,Kirby Yates,29,2,1,.667,5.23,41,0,11,0,0,0,41.1,41,24,24,5,19,1,50,4,0,1,184,84,3.97,1.452,8.9,1.1,4.1,10.9,2.63
10,RP,Chasen Shreve,25,2,1,.667,5.18,37,0,11,0,0,1,33.0,29,19,19,8,13,0,33,3,0,0,142,85,5.75,1.273,7.9,2.2,3.5,9.0,2.54
11,,Luis Severino,22,3,8,.273,5.83,22,11,3,0,0,0,71.0,78,48,46,11,25,1,66,3,0,3,312,75,4.48,1.451,9.9,1.4,3.2,8.4,2.64
12,,Luis Cessa,24,4,4,.500,4.35,17,9,5,0,0,0,70.1,64,36,34,16,14,0,46,3,0,2,285,100,5.52,1.109,8.2,2.0,1.8,5.9,3.29
13,,Chad Green,25,2,4,.333,4.73,12,8,4,0,0,1,45.2,49,26,24,12,15,0,52,1,0,1,198,92,5.34,1.401,9.7,2.4,3.0,10.2,3.47
14,,Anthony Swarzak,30,1,2,.333,5.52,26,0,6,0,0,0,31.0,28,19,19,10,7,0,31,1,0,1,124,79,6.11,1.129,8.1,2.9,2.0,9.0,4.43
15,,Adam Warren,28,4,2,.667,3.26,29,0,3,0,0,0,30.1,28,13,11,4,10,2,25,1,0,3,125,134,4.30,1.253,8.3,1.2,3.0,7.4,2.50
16,,Nick Goody,24,0,0,,4.66,27,0,10,0,0,0,29.0,30,15,15,7,12,1,34,1,0,0,128,94,5.28,1.448,9.3,2.2,3.7,10.6,2.83
17,,Tyler Clippard,31,2,3,.400,2.49,29,0,7,0,0,2,25.1,20,9,7,3,11,2,26,1,0,4,107,177,4.05,1.224,7.1,1.1,3.9,9.2,2.36
18,,Bryan Mitchell,25,1,2,.333,3.24,5,5,0,0,0,0,25.0,26,13,9,1,12,0,11,0,0,0,107,136,4.23,1.520,9.4,0.4,4.3,4.0,0.92
19,,Richard Bleier,29,0,0,,1.96,23,0,8,0,0,0,23.0,20,6,5,0,4,0,13,1,0,0,92,225,2.67,1.043,7.8,0.0,1.6,5.1,3.25
20,,Blake Parker,31,1,0,1.000,4.96,16,0,5,0,0,1,16.1,16,9,9,1,8,1,15,2,0,0,74,89,3.94,1.469,8.8,0.6,4.4,8.3,1.88
21,,Tommy Layne,31,2,0,1.000,3.38,29,0,4,0,0,1,16.0,10,6,6,2,7,1,13,2,0,1,67,131,4.83,1.063,5.6,1.1,3.9,7.3,1.86
22,,Johnny Barbato,23,1,2,.333,7.62,13,0,5,0,0,0,13.0,13,11,11,2,5,0,15,2,0,0,57,58,4.45,1.385,9.0,1.4,3.5,10.4,3.00
23,,Jonathan Holder,23,0,0,,5.40,8,0,1,0,0,0,8.1,8,5,5,1,4,0,5,0,0,0,36,84,4.95,1.440,8.6,1.1,4.3,5.4,1.25
24,,Ben Heller,24,1,0,1.000,6.43,10,0,4,0,0,0,7.0,11,5,5,3,4,1,6,2,0,0,40,71,9.57,2.143,14.1,3.9,5.1,7.7,1.50
25,,Phil Coke,33,0,0,,6.00,3,0,2,0,0,0,6.0,7,5,4,1,4,0,1,1,0,0,29,76,7.48,1.833,10.5,1.5,6.0,1.5,0.25
26,,James Pazos,25,1,0,1.000,13.50,7,0,1,0,0,0,3.1,7,5,5,2,1,0,3,0,0,0,17,36,10.05,2.400,18.9,5.4,2.7,8.1,3.00
27,,Conor Mullee,28,0,0,,3.00,3,0,1,0,0,0,3.0,0,1,1,0,4,0,4,1,0,0,14,162,5.48,1.333,0.0,0.0,12.0,12.0,1.00
28,,Tyler Olson,26,0,0,,6.75,1,0,1,0,0,0,2.2,3,2,2,0,2,0,0,0,0,0,13,73,5.40,1.875,10.1,0.0,6.8,0.0,0.00
29,,Branden Pinder,27,0,0,,18.00,1,0,0,0,0,0,1.0,3,2,2,0,1,0,1,0,0,0,6,33,4.15,4.000,27.0,0.0,9.0,9.0,1.00
